Date,Open,High,Low,Close,Adj Close,Volume
2009-04-28,85.190002,86.820000,85.000000,85.830002,67.541656,4961200
2009-04-29,86.769997,88.580002,86.550003,87.599998,68.934509,4432200
2009-04-30,88.779999,89.250000,87.190002,87.690002,69.005325,10533800
2009-05-01,87.699997,88.440002,86.949997,88.120003,69.343712,3633000
2009-05-04,88.820000,91.190002,88.629997,91.150002,71.728104,3523300
2009-05-05,90.830002,91.160004,90.099998,90.769997,71.429031,5741800
2009-05-06,91.919998,92.449997,90.860001,92.339996,72.664528,6352300
2009-05-07,93.320000,93.389999,90.540001,91.040001,71.641533,7551100
2009-05-08,92.339996,93.470001,91.680000,93.230003,73.364883,4632600
2009-05-11,91.959999,92.320000,91.290001,91.410004,71.932686,5411900
2009-05-12,91.849998,92.059998,90.099998,91.239998,71.798897,4827700
2009-05-13,89.949997,90.250000,88.730003,89.040001,70.067673,6179300
2009-05-14,89.019997,90.360001,88.760002,89.650002,70.547691,4711900
2009-05-15,89.639999,90.250000,88.370003,88.940002,69.988976,4604100
2009-05-18,89.769997,91.550003,89.620003,91.440002,71.956306,3264600
2009-05-19,91.449997,92.220001,91.080002,91.330002,71.869728,4147800
2009-05-20,92.209999,93.050003,90.660004,90.760002,71.421196,5735800
2009-05-21,89.680000,90.050003,88.510002,89.400002,70.350975,3998500
2009-05-22,89.699997,90.250000,88.940002,89.220001,70.209320,5367900
2009-05-26,88.580002,91.790001,88.559998,91.599998,72.082184,4804600
2009-05-27,91.699997,91.989998,89.779999,89.889999,70.736565,5038700
2009-05-28,90.720001,91.559998,89.330002,91.129997,71.712349,4056000
2009-05-29,91.669998,93.010002,90.940002,92.809998,73.034370,7027700
2009-06-01,93.900002,95.430000,93.690002,95.019997,74.773499,3855900
2009-06-02,94.720001,95.639999,94.440002,95.139999,74.867920,4839300
2009-06-03,94.330002,94.400002,93.019997,93.940002,73.923592,6783000
2009-06-04,94.260002,94.930000,93.570000,94.820000,74.616096,3358800
2009-06-05,95.809998,95.940002,94.059998,94.860001,74.647591,5884000
2009-06-08,94.099998,95.360001,93.320000,94.480003,74.348534,3251400
2009-06-09,94.940002,95.410004,94.300003,94.919998,74.694778,3770100
2009-06-10,95.739998,95.779999,93.470001,94.660004,74.490196,3117700
2009-06-11,94.930000,96.389999,94.870003,95.080002,74.820694,2915600
2009-06-12,94.639999,95.389999,94.269997,95.389999,75.064636,2517900
2009-06-15,94.209999,94.260002,92.680000,93.180000,73.325539,2959800
2009-06-16,93.449997,93.550003,91.820000,91.940002,72.349747,5855200
2009-06-17,91.910004,92.570000,91.089996,91.769997,72.215981,5618700
2009-06-18,91.959999,92.930000,91.540001,92.309998,72.640915,2794400
2009-06-19,93.349998,93.489998,92.309998,92.839996,73.057976,3271300
2009-06-22,91.900002,91.940002,90.019997,90.029999,70.846733,6064100
2009-06-23,89.779999,90.160004,89.120003,89.639999,70.917908,5675000
2009-06-24,90.449997,91.360001,89.879997,90.389999,71.511276,3525600
2009-06-25,89.970001,92.440002,89.849998,92.309998,73.030273,4822000
2009-06-26,92.059998,92.529999,91.570000,92.010002,72.792938,7585700
2009-06-29,92.379997,93.099998,91.889999,92.980003,73.560326,3518300
2009-06-30,93.019997,93.330002,91.550003,92.349998,73.061920,4749200
2009-07-01,92.610001,93.519997,92.519997,92.629997,73.283409,7700000
2009-07-02,91.440002,91.449997,90.050003,90.070000,71.258133,3868200
2009-07-06,89.230003,90.209999,88.959999,90.099998,71.281883,5612600
2009-07-07,89.949997,90.190002,88.300003,88.330002,69.881554,4642500
2009-07-08,88.800003,89.080002,87.300003,88.290001,69.849907,6816100
2009-07-09,88.820000,89.180000,88.199997,88.510002,70.023941,4831400
2009-07-10,87.980003,88.750000,87.629997,88.250000,69.818253,4725100
2009-07-13,88.550003,90.440002,87.889999,90.389999,71.511276,3195000
2009-07-14,90.620003,90.980003,90.019997,90.959999,71.962250,6877400
2009-07-15,92.120003,93.800003,91.989998,93.599998,74.050873,3290300
2009-07-16,93.300003,94.800003,93.120003,94.440002,74.715416,2420900
2009-07-17,94.320000,94.610001,93.849998,94.480003,74.747063,2729800
2009-07-20,94.980003,95.589996,94.480003,95.330002,75.419548,3850000
